study_accession	sample_accession	run_accession	fastq_md5	fastq_ftp
PRJEB24914	SAMEA104585242	ERR2298703	e3e895ca8d07899155eefa19d8a01728;b20e40c9974bb7c659d105799c22d6ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298703/ERR2298703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298703/ERR2298703_2.fastq.gz
PRJEB24914	SAMEA104585243	ERR2298704	1f3e05c9eab6c2d7e04a507ff396ad89;c5e93aaf8e929b4580ff21ad6e4df7bb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298704/ERR2298704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298704/ERR2298704_2.fastq.gz
PRJEB24914	SAMEA104585244	ERR2298705	c3c156d4ae1bf3231b937998c69284b4;76f9b5fe3aea1108bc108f477618d059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298705/ERR2298705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298705/ERR2298705_2.fastq.gz
PRJEB24914	SAMEA104585245	ERR2298706	a79ccb02b256c33b4e5a8aa1493a0c30;bd012561afb61bfeba76dc58ad7ff8f0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298706/ERR2298706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298706/ERR2298706_2.fastq.gz
PRJEB24914	SAMEA104585246	ERR2298707	1a15bd3a75e32b1bfbd04e6c7ad0a5b6;6c0b0279d0244d3719511a69fead5c7c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298707/ERR2298707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298707/ERR2298707_2.fastq.gz
PRJEB24914	SAMEA104585247	ERR2298708	f68baf856acdf4f38e6dac3d535b2714;a22f30338c30b5236ac1fb5f0d280d13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298708/ERR2298708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298708/ERR2298708_2.fastq.gz
PRJEB24914	SAMEA104585248	ERR2298709	893f07a2c60c67c5203dce65afafe10a;855965ab6cfead0f6180c302d9dccd6e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298709/ERR2298709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298709/ERR2298709_2.fastq.gz
PRJEB24914	SAMEA104585249	ERR2298710	7263989a424425a21c3dbed691ae551d;8a5a734e9c3a7dabc60f659ffccf8a70	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298710/ERR2298710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298710/ERR2298710_2.fastq.gz
PRJEB24914	SAMEA104585250	ERR2298711	ccc9abe820fef6622fc3b5c7fd186836;66a88a80d3c9177f01f9bac32a514fb6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298711/ERR2298711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298711/ERR2298711_2.fastq.gz
PRJEB24914	SAMEA104585251	ERR2298712	d1d42bea035e3ecc00f2eac395ed254a;efe946ba7061c89c7fad666914c6d70d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298712/ERR2298712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298712/ERR2298712_2.fastq.gz
PRJEB24914	SAMEA104585252	ERR2298713	cfc067606d03a99652c4a5071b069a5d;807981f286cd0cc9d8d0760d1d0f7824	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298713/ERR2298713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298713/ERR2298713_2.fastq.gz
PRJEB24914	SAMEA104585253	ERR2298714	0b1cadc0f46d17425df55048abf691d2;3447d59a5a2b937b96ad5aa3e94c5e81	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298714/ERR2298714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298714/ERR2298714_2.fastq.gz
PRJEB24914	SAMEA104585254	ERR2298715	416d48b2ca052ebd12aca30b2ae561ec;feec8b45e31e2e9901a047968c706008;50d672eb57c466585e1333d38e12ba9d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298715/ERR2298715.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298715/ERR2298715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298715/ERR2298715_2.fastq.gz
PRJEB24914	SAMEA104585255	ERR2298716	9c8e038769f5103e68fbbf907cc5eebc;029dddf0885d9a46100f9d7b09360b50	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298716/ERR2298716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298716/ERR2298716_2.fastq.gz
PRJEB24914	SAMEA104585256	ERR2298717	14f8cb582d15bc90add8d969741ea525;b8000fce6b4e6d4f4bd80572b82b8b5b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298717/ERR2298717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298717/ERR2298717_2.fastq.gz
PRJEB24914	SAMEA104585257	ERR2298718	f120004d4e785edcdfefc3906ef42bb6;4accf8d3c6c3254b693f1550713edbb2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298718/ERR2298718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298718/ERR2298718_2.fastq.gz
PRJEB24914	SAMEA104585258	ERR2298719	0b31e127a9a41ea76f86b75765a8ba68;978a02f19eb59c1b2dfe965141ef6a39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298719/ERR2298719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298719/ERR2298719_2.fastq.gz
